alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
01_B_0054,"Sopa de flor de calabaza",,,,,
01_B_0055,"Habas cocidas en sal",,,,,
01_B_0056,"Habas cocidas con chile",,,,,
01_B_0057,"Caldo de haba de haba",,,,,
01_B_0058,"Hormigas en chile guajillo",,,,,
01_B_0059,"Huanzontles con queso",,,,,
01_B_0060,"Papitas de agua cocidas en sal",,,,,
01_B_0061,"Pozole de pollo en salsa roja",,,,,
01_B_0062,Ponteduro,,,,,
01_B_0063,Queso,,,,,
01_B_0064,"Tamales de capulín",,,,,
01_B_0065,"Tamalitos de sal",,,,,
01_B_0066,"Tostadas de haba",,,,,
01_B_0067,"Trigo cocido con epazote y chile",,,,,
01_B_0068,"Consomé de xoconostle",,,,,
01_B_0069,"Atole de capulín",,,,,
01_B_0070,"huevos revueltos",,,,,
01_B_0071,"Frijoles de la olla",,,,,
01_B_0072,"Hongos en chile pasilla",,,,,
01_B_0073,"Nopales en escabeche",,,,,
01_B_0074,"Dulce de frutas",,,,,
01_B_0075,"Curado de tejocote",,,,,
01_B_0076,"Arroz blanco",,,,,
01_B_0077,"Tamal de rajas",,,,,
01_B_0078,"Caldo de pollo",,,,,
01_B_0079,"Quesadilla de flor de calabaza",,,,,
01_B_0080,"Salsa verde",,,,,
01_B_0081,Piloncillo,,,,,
01_B_0082,"Pan de pueblo",,,,,
01_C_0001,Azúcar,,,,,
01_C_0002,Aceite,,,,,
01_C_0003,"Vinagre blanco",,,,,
01_C_0004,"Leche condensada",,,,,
01_C_0005,"Manteca vegetal",,,,,
02_A_0001,Yuca,,,,,
02_A_0002,Frijol,,,,,
02_A_0003,"Hierba mora",,,,,
02_A_0004,Nabo,,,,,
02_A_0005,Chilacayote,,,,,
02_A_0006,Repollo,,,,,
02_A_0007,Chaya,,,,,
02_A_0008,Chipilín,,,,,
02_A_0009,"Flor de frijol",,,,,
02_A_0010,Quelite,,,,,
02_A_0011,Camote,,,,,
02_A_0012,"Tomate de árbol",,,,,
02_A_0013,Chayote,,,,,
02_A_0014,Maíz,,,,,
02_A_0015,Café,,,,,
02_A_0016,"Plátano manzano o guineo",,,,,
02_A_0017,Lima,,,,,
02_A_0018,Cacahuate,,,,,
