id,name,carbs,energy,fat,protein,sodium
3011,BOMBON,81.3,318,0.2,1.8,
3012,CAJETA,81.82,412.62,7.71,6.56,
3013,"CALABAZA EN DULCE, PREPARACION ESTANDARIZADA",26.33,105.28,0.04,0.34,
3014,"CAMOTE CON AZUCAR, PREPARACION ESTANDARIZADA",24.4,98.37,0.02,0.7,
3015,"CAPIROTADA, PREPARACION ESTANDARIZADA",34.42,223.04,8.37,3.13,
3016,CHAMOY,20,100,0,0,
3017,CHILE CON AZUCAR (TIPO MIGUELITO),40,160,0,0,
3018,"CHOCOLATE EN POLVO ENRIQUECIDO (NESQUIK, CALCTOSE)",86.2,371.5,2,3.15,
3019,CHOCOLATE EN POLVO SIN ENRIQUECER (ABUELITA EN POLVO),79.1,385,5.8,4,
3020,CHOCOLATE LÍQUIDO (ESTILO HERSHEYS),61.11,268.59,1.32,3.08,
3021,"CHOCOLATE, AMARGO",45.9,598,42.63,7.79,
3022,"CHOCOLATE, BLANCO",59.24,539,32.09,5.87,
3023,"CHOCOLATE, BLANCO",59.24,539,32.09,5.87,
3024,"CHOCOLATE CON AZUCAR (ABUELITA, IBARRA, ETC)",80.64,427.17,10.11,3.7,
3025,"CHOCOLATE, CON LECHE (CARLOS V, VAQUITA, ETC)",54.56,515.83,29.4,7.68,
3026,"CHOCOLATE CON MENTA (CUBIERTA O RELLENO, TIPO CHOCORETAS)",76,480,16,4,
3027,"CHOCOLATE, RELLENO DE ALMENDRA, AVELLANA O CACAHUATE (TIPO FERRERO)",50.83,531.59,36.28,9.7,
3028,"CHOCOLATE, RELLENO DE CARAMELO Y NUEZ (SNICKERS, MILKY WAY)",64.3,472.08,20.72,7.1,
3029,"CHOCOLATE, SEMI AMARGO",61.17,546,31.28,4.88,
3030,"CHOCOLATE, SIN AZUCAR, EN POLVO O MACIZO",45.63,517.13,36.33,6.42,
3031,"CHOCOLATE, TIPO NUTELA",61.11,516.57,27.77,5.55,
3032,CHONGOS ZAMORANOS,17.39,136.45,5.05,5.36,
3033,COCADA,42.98,284.84,13.16,1.74,
3034,"COCOA, EN POLVO",57.9,228,13.7,19.6,
3035,CREMA CHANTILLY,12.49,257,22.22,3.2,
3036,"CREMA DE COCO, INDUSTRIALIZADA (PARA HACER POSTRES Y BEBIDAS)",44.81,220.6,4.39,0.93,
3037,"CREPA DE NUTELLA CON NUEZ, PREPARACION ESTANDARIZADA",24.66,292.62,19.11,7.38,
3038,"CREPA DE NUTELLA, PREPARACION ESTANDARIZADA",29.91,248.03,11.53,5.99,
3039,"CREPA DULCE (TODOS SABORES), PREPARACION ESTANDARIZADA",25.8,203.93,9.44,4.98,
3040,"DULCE DE CHABACANO, PREPARACION ESTANDARIZADA",30.74,122,0.29,1.02,
3041,"DULCE DE CHOCOLATE, DUVALIN (TODOS SABORES)",67.94,535.36,27.56,0.65,
3042,"DULCE DE LECHE, INDUSTRIALIZADO",78,377,5,5,
3043,"DULCE DE LECHE, PREPARACION ESTANDARIZADA",22.97,123.48,2.52,2.5,
3044,"DULCE DE TAMARINDO EN PASTA (TIPO PELÓN, BOMBAZO)",90.59,373.74,0.8,1.19,
3045,"DULCE DE TAMARINDO, TARUGO O BANDERILLA",47.37,182.38,0.24,1.08,
3046,"DULCE, MACIZO (PALETAS, REDONDOS, SALVAVIDAS, HALLS)",88.13,358.46,0.02,0.02,
3047,"DULCE, TIPO CHICLOSOS",91.56,397,3.33,0.03,
3048,"EMPANADA DE ARROZ CON LECHE, PREPARACION ESTANDARIZADA",42,313.16,13.9,5.32,
3049,"EMPANADA DULCE, PREPARACION ESTANDARIZADA",52.75,365.65,15.11,5.17,
3050,ERITRITOL (LIVANA),100,0,0,0,
3051,ESTEVIA (CANDEREL-STEVIA) C/AZÚCAR-SUCRALOSA,98,400,0,0,
3052,ESTEVIA (NATURAL FIT),100,0,0,0,
3053,ESTEVIA (NUTRA LIGHT),100,0,0,0,
3054,ESTEVIA (SPLENDA NATURALS),100,0,0,0,
3055,ESTEVIA-SACAROSA (STEVIEN),95,0,0,0,
3056,FLAN O GELATINA (PROMEDIO),17.53,103.09,2.15,3.48,
3057,"FLAN PREPARADO, INDUSTRIALIZADO",15.75,99.47,2.79,2.91,
3058,"FLAN, PREPARACION ESTANDARIZADA",45.94,253.06,4.82,6.68,
3059,"FRESAS CON CREMA, PREPARACION ESTANDARIZADA",13.35,177.52,13.4,1.64,
3060,"FRUTA CON CREMA Y AZUCAR (EXCEPTO FRESAS), PREPARACION ESTANDARIZADA",22.43,143.25,6.21,1.43,
3061,"FRUTA CUBIERTA DE CHOCOLATE, PREPARACION ESTANDARIZADA",25.94,220.51,11.64,3.4,
3062,"GELATINA CON AGUA, PREPARACION ESTANDARIZADA",1.41,7.17,0.05,0.27,
3063,"GELATINA DE LECHE PREPARADA, INDUSTRIALIZADA",17.7,116.47,3.13,4.33,
3064,"GELATINA DE LECHE, PREPARACION ESTANDARIZADA",5.68,60.24,2.83,3,
3065,"GELATINA LIGHT PREPARADA, INDUSTRIALIZADA",0.9,19.09,0.9,1.81,
3066,"GELATINA LIGHT, EN POLVO",80.21,198,0,15.67,
3067,GELATINA EN POLVO,11.45,58.36,0.41,2.23,
3068,"GOMA DE MASCAR, CON AZUCAR TIPO BOMBIUX O BUBBALOO",75.29,324.29,0.17,0,
3069,GOMA DE MASCAR (PROMEDIO),72.8,296.16,0,0,
3070,GOMA DE MASCAR SIN AZ?CAR (TIPO TRIDENT),0,0,0,0,
3071,GOMITAS CUBIERTAS DE AZUCAR,81.27,340,0,3.64,
3072,GOMITAS ENCHILADAS,74.58,313.33,0,4.08,
3073,"GORDITAS DE NATA, PREPARACION ESTANDARIZADA",55.17,318.52,6.82,9.07,
3074,"GRENETINA, EN POLVO",0,34.61,0,8.66,
3075,"HELADO CON GALLETA, SANDWICH (TIPO MORDIZCO)",24.3,147.05,4.69,1.91,
3076,"HELADO, DE CHOCOLATE",28.2,216,11,3.8,
3077,"HELADO, DE FRESA",27.6,192,8.4,3.2,
3078,HELADO DE LECHE,23.04,209.75,11.49,3.36,
3079,"HELADO, DE VAINILLA",23.6,207,11,3.5,
3080,"JALEA O ATE, DE FRUTAS (EXCEPTO MEMBRILLO)",54.16,276.66,0,0,
3081,ATE DE MEMBRILLO,59.05,240.67,0.05,0.69,
3082,JALEA REAL,19.8,148,2.7,11.1,
3083,"JARABE, SABOR A MAPLE",78.13,312.52,0,0,
3084,LECHE CONDENSADA,66.53,345.85,5.82,7.25,
3085,LECHE CONDENSADA REDUCIDA EN AZUCAR (LECHERA LIGHT),62,282,0.3,7.7,
3086,"MALVAVISCO CUBIERTO DE CHOCOLATE (MALVABON, DE LA ROSA, ETC)",69.3,394.4,10.11,6.25,
3087,"MAZAPAN, PROMEDIO",65,510,22.5,12.5,
3088,MELAZA,71,285,0.1,0,
3089,"MERMELADA, DE MANZANA",49.33,197.33,0,0,
3090,MERMELADA DE NARANJA,60.44,243.56,0.03,0.23,
3091,MERMELADA PROMEDIO (EXCEPTO NARANJA O MANZANA),57.87,224.81,0.3,0.65,
3092,MERMELADA REDUCIDA EN CALORÍAS (TODOS LOS SABORES),32.46,130.53,0,0,
3093,"MIEL, DE ABEJA",78.61,320.16,0,0.15,
3094,"MIEL, DE CAÑA",72.6,294,0.2,0.5,
3095,"MIEL, DE MAIZ",76.79,283,0.2,0,
3096,"MIEL, DE MAPLE",67.04,260,0.06,0.04,
3097,"NATILLA (TODOS SABORES), PREPARACION ESTANDARIZADA",14.11,124.5,5.45,4.2,
3098,NIEVE DE FRUTAS,20.03,86.72,0.33,0.67,
3099,"NIEVE DE FRUTAS CON CHAMOY Y CHILE EN POLVO, PREPARACION ESTANDARIZADA",10.45,43.89,0.36,0.43,
3100,NUEZ O CACAHUATES CUBIERTOS DE CHOCOLATE,52.61,514.85,29.42,9.89,
3101,NUTRA SWEET,89.08,365,0,2.17,
3102,OBLEAS CON CAJETA,77.68,369.29,2.92,7.87,
3103,"PALANQUETA CASERA, PREPARACION ESTANDARIZADA",46.25,414.21,24.3,5.8,
3104,"PALETA DE HIELO, DE AGUA (TODOS SABORES)",18.81,71.7,0,0,
3105,"PALETA DE HIELO, DE LECHE SIN COBERTURA",34.94,260.67,12.65,1.62,
3106,"PALETA DE HIELO, DE LECHE Y COBERTURA DE CHOCOLATE (TIPO MAGNUM)",22.02,238.09,15.15,3.4,
3107,"PALETA PAYASO, RICOLINO",67.66,364.44,10.27,4.11,
3108,PASAS,79.18,299,0.46,3.07,
3109,PASAS CUBIERTAS CON CHOCOLATE,64.2,440,19.08,3.85,
3110,"PAY DE FRUTAS (REBANADA), PREPARACION ESTANDARIZADA",33.14,399.85,27.62,7.37,
3111,"PAY DE QUESO (REBANADA), PREPARACION ESTANDARIZADA",33.31,293.83,13.71,7.4,
3112,"PEPINO CON CHAMOY Y POLVITO AZUCARADO (TIPO MIGUELITO), PREPARACION ESTANDARIZADA",5.97,23.95,0.11,0.58,
3113,PILONCILLO,93.8,375,0,0,
3114,QUESO DE TUNA,79,321,,1.3,
3115,RASPADO (PROMEDIO),17.98,89.26,0.91,0.47,
3116,SPLENDA,91.17,336,0,0,
3117,SUCRALOSA (CANDEREL-SUCARÉ) C/DEXTROSA,90,348,0,0,
3118,SUCRALOSA (NUTRA LIGHT),92,392,0,0,
3119,SUCRALOSA (SPLENDA ORIGINAL LÍQUIDO),0,0,0,0,
3120,"TEJOCOTES EN DULCE, PREPARACION ESTANDARIZADA",31.48,126.6,0.24,0.33,
3121,"TLAXCAL DULCE, PREPARACION ESTANDARIZADA",58.54,492.33,27.13,4.87,
4000,"CHEETOS O SIMILARES, BOTANA SABOR QUESO",54.54,567,36.54,5.46,
4001,"CHICHARRON DE HARINA (SABRITONES, TOTIS)",63.61,513.71,34,6.85,
4002,"CHICHARRON DE HARINA PREPARADO CON CUERITOS Y VERDURA, PREPARACION ESTANDARIZADA",8.24,192.93,15.56,7.97,
4003,"DORILOCOS (FRITURAS DE MAIZ CON VERDURA, CREMA, QUESO, CUERITOS, ETC), PREPARACION ESTANDARIZADA",18.47,139.14,6.15,2.67,
4004,"FRITURA DE FRUTAS Y VERDURAS (PLATANOS, MANZANAS, ETC)",66.26,497.96,26.7,1.73,
4005,"FRITURAS DE MAIZ PROMEDIO (FRITOS, DORITOS, ETC.)",55.69,502.71,27.06,6.69,
4006,FRITURAS DE MAIZ SABOR NACHOS,60.81,519,27.42,7.36,
4007,FRITURAS DE MAIZ SABOR QUESO BAJO EN GRASA,71.6,445,15.2,8.7,
4008,PALOMITAS DE MAÍZ DE AIRE (SIN ACEITE),77.78,387,4.54,12.94,
4009,PALOMITAS DE MAIZ PROMEDIO (INDUSTRIALIZADAS Y CASERAS),54.74,472.25,24.99,8.48,
4010,PAPAS (STICKS TODAS MARCAS),59.76,476.61,24.46,4.35,
4011,"PAPAS EN HOJUELAS (TODAS MARCAS: SABRITAS, BARCEL, ETC.)",52.98,516.03,31.33,6.09,
4012,PITA CHIPS,68.26,457,15.2,11.79,
4013,PRETZELS,80.39,384,2.93,10.04,
5000,"AGUA / LICUADO DE FRUTAS SIN AZUCAR Y SIN LECHE, PREPARACION ESTANDARIZADA",1.89,7.58,0.03,0.16,
5001,"AGUA DE AVENA, PREPARACION ESTANDARIZADA",8.27,36.19,0.24,0.42,
5002,AGUA DE COCO INDUSTRIALIZADA,4.24,18,0,0.22,
5003,"AGUA DE COCO, NATURAL",3.71,19,0.2,0.72,
5004,"AGUA DE FRESA CON CREMA, PREPARACION ESTANDARIZADA",8.08,66.24,3.22,1.4,
5005,"AGUA DE FRUTAS (PROMEDIO), PREPARACION ESTANDARIZADA",6.83,32.03,0.42,0.44,
5006,"AGUA DE FRUTAS, INDUSTRIALIZADA (FRUTSI, PAU PAU)",1.19,4.77,0,0,
5007,"AGUA DE GUAYABA SIN AZUCAR, PREPARACION ESTANDARIZADA",2.07,10.42,0.16,0.18,
5008,"AGUA DE GUAYABA, PREPARACION ESTANDARIZADA",5.34,22.5,0.12,0.13,
5009,"AGUA DE HORCHATA, INDUSTRIALIZADA",13.13,71.5,1.85,1.06,
