alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
4003,"dorilocos (frituras de maiz con verdura, crema, queso, cueritos, etc), preparacion estandarizada",18.47,139.14,6.15,2.67,
4004,"fritura de frutas y verduras (platanos, manzanas, etc)",66.26,497.96,26.7,1.73,
4006,frituras de maiz sabor nachos,60.81,519.0,27.42,7.36,
4007,frituras de maiz sabor queso bajo en grasa,71.6,445.0,15.2,8.7,
4008,palomitas de maãz de aire (sin aceite),77.78,387.0,4.54,12.94,
4009,palomitas de maiz promedio (industrializadas y caseras),54.74,472.25,24.99,8.48,
4010,papas (sticks todas marcas),59.76,476.61,24.46,4.35,
4011,"papas en hojuelas (todas marcas: sabritas, barcel, etc.)",52.98,516.03,31.33,6.09,
4012,pita chips,68.26,457.0,15.2,11.79,
4013,pretzels,80.39,384.0,2.93,10.04,
5035,"atole  de  avena con leche, preparacion estandarizada",20.11,128.91,3.53,4.27,
5036,"atole  de ciruela sin leche, preparacion estandarizada",8.8,36.53,0.15,0.36,
5037,"atole  de vainilla con leche, preparacion estandarizada",11.53,83.6,2.93,2.87,
5038,"atole (cualquier tipo), preparacion estandarizada",16.33,85.21,1.49,1.99,
5039,atole (promedio),16.06,83.99,1.53,1.96,
5040,"atole agrio sin leche, preparacion estandarizada",6.71,29.18,0.31,0.8,
5041,"atole champurrado sin leche, preparacion estandarizada",13.18,57.01,0.31,0.37,
5042,atole de agua de pinole,35.89,173.31,2.86,2.1,
5043,atole de ajonjoli (con leche),16.51,100.41,3.19,2.15,
5044,atole de ajonjoli (sin leche),14.65,78.02,2.06,0.96,
5045,"atole de arroz con leche, preparacion estandarizada",31.03,147.02,1.51,2.09,
5046,"atole de arroz sin leche, preparacion estandarizada",8.39,34.36,0.04,0.28,
5047,"atole de avena con agua sin azucar, preparacion estandarizada",3.5,20.11,0.37,0.65,
5048,"atole de avena sin leche, preparacion estandarizada",14.87,65.48,0.43,0.76,
5049,atole de cacahuate (sin leche),18.54,104.96,3.0,2.01,
5050,"atole de camote sin leche, preparacion estandarizada",28.36,121.21,0.47,0.94,
5051,"atole de capulin sin leche, preparacion estandarizada",7.28,28.89,0.0,0.02,
5052,"atole de chocolate con leche, preparacion estandarizada",21.75,129.6,3.34,3.38,
5053,"atole de ciruela pasa sin leche, preparacion estandarizada",21.62,84.9,0.16,0.48,
5054,"atole de coco con leche, preparacion estandarizada",11.75,124.1,7.66,3.01,
5055,"atole de elote con chile y leche, preparacion estandarizada",14.47,86.11,2.31,3.0,
5056,"atole de elote sin leche, preparacion estandarizada",18.5,116.06,3.28,3.75,
5057,"atole de fresa con leche, preparacion estandarizada",13.03,88.86,2.87,2.82,
5058,"atole de frijol sin leche, preparacion estandarizada",20.56,92.52,0.22,2.27,
5059,"atole de garbanzo sin leche, preparacion estandarizada",16.52,78.11,0.58,1.97,
5060,"atole de guayaba con leche, preparacion estandarizada",8.98,56.89,1.61,1.59,
5061,"atole de jobo (atole blanco) sin leche, preparacion estandarizada",42.61,179.81,0.7,1.83,
5062,"atole de limon con leche, preparacion estandarizada",13.88,89.14,2.71,2.68,
5063,"atole de maiz con leche, preparacion estandarizada",26.34,146.69,3.1,3.8,
5064,"atole de maiz sin leche, preparacion estandarizada",15.77,76.4,0.94,1.77,
5065,"atole de maizena con leche, preparacion estandarizada",11.78,80.29,2.6,2.55,
5066,"atole de maizena sin leche, preparacion estandarizada",7.94,31.36,0.0,0.0,
5067,atole de masa con leche,18.44,108.97,2.83,2.99,
5068,atole de masa sin leche,5.26,21.07,0.04,0.08,
5069,"atole de masa sin leche, preparacion estandarizada",19.58,81.39,0.19,0.34,
5070,"atole de pina con leche, preparacion estandarizada",9.72,43.59,0.41,0.5,
5071,"atole dulce con chile sin leche, preparacion estandarizada",18.87,90.59,1.34,0.79,
