alimento_id,alimento,Carbohidratos,Energía,Lípidos,Proteína,Sodio
5046,"Atole de arroz sin leche, preparacion estandarizada",8.39,34.36,0.04,0.28,
5047,"Atole de avena con agua sin azucar, preparacion estandarizada",3.5,20.11,0.37,0.65,
5048,"Atole de avena sin leche, preparacion estandarizada",14.87,65.48,0.43,0.76,
5049,Atole de cacahuate (sin leche),18.54,104.96,3,2.01,
5050,"Atole de camote sin leche, preparacion estandarizada",28.36,121.21,0.47,0.94,
5051,"Atole de capulin sin leche, preparacion estandarizada",7.28,28.89,0,0.02,
5052,"Atole de chocolate con leche, preparacion estandarizada",21.75,129.6,3.34,3.38,
5053,"Atole de ciruela pasa sin leche, preparacion estandarizada",21.62,84.9,0.16,0.48,
5054,"Atole de coco con leche, preparacion estandarizada",11.75,124.1,7.66,3.01,
5055,"Atole de elote con chile y leche, preparacion estandarizada",14.47,86.11,2.31,3,
5056,"Atole de elote sin leche, preparacion estandarizada",18.5,116.06,3.28,3.75,
5057,"Atole de fresa con leche, preparacion estandarizada",13.03,88.86,2.87,2.82,
5058,"Atole de frijol sin leche, preparacion estandarizada",20.56,92.52,0.22,2.27,
5059,"Atole de garbanzo sin leche, preparacion estandarizada",16.52,78.11,0.58,1.97,
5060,"Atole de guayaba con leche, preparacion estandarizada",8.98,56.89,1.61,1.59,
5061,"Atole de jobo (atole blanco) sin leche, preparacion estandarizada",42.61,179.81,0.7,1.83,
5062,"Atole de limon con leche, preparacion estandarizada",13.88,89.14,2.71,2.68,
5063,"Atole de maiz con leche, preparacion estandarizada",26.34,146.69,3.1,3.8,
5064,"Atole de maiz sin leche, preparacion estandarizada",15.77,76.4,0.94,1.77,
5065,"Atole de maizena con leche, preparacion estandarizada",11.78,80.29,2.6,2.55,
5066,"Atole de maizena sin leche, preparacion estandarizada",7.94,31.36,0,0,
5067,Atole de masa con leche,18.44,108.97,2.83,2.99,
5068,Atole de masa sin leche,5.26,21.07,0.04,0.08,
5069,"Atole de masa sin leche, preparacion estandarizada",19.58,81.39,0.19,0.34,
5070,"Atole de pina con leche, preparacion estandarizada",9.72,43.59,0.41,0.5,
5071,"Atole dulce con chile sin leche, preparacion estandarizada",18.87,90.59,1.34,0.79,
5072,Bebida de cafe  industrializada,12.6,71,1.38,1.98,
5073,"Bebida de chocolate con agua (sin masa, ni maicena), preparacion estandarizada",16.13,85.43,2.02,0.74,
5074,"Bebida de soya endulzada (tipo ades), industrializada",5.44,27.97,0.41,0.61,
